Lp,V,GTT,GTn,GGn,Ts,Tp,T48,T1,T2,P48,P1,P2,Pexh,TIC,mf,decay_coeff_comp,decay_coeff_turbine,T1_P1_ratio,T2_P2_ratio,T48_P48_ratio,Propeller_Torque_Diff,Power_Proxy_kW
1.138,3.0,289.964,1349.489,6677.38,7.584,7.584,464.006,288.0,550.563,1.096,0.998,5.947,1.019,7.137,0.082,0.95,0.975,288.57715430861725,92.57827476038338,423.3631386861313,0.0,40977.178255161416
2.088,6.0,3625.072,1362.8274999999999,6752.9245,17.894,17.894,549.7035,288.0,566.1105,1.2135,0.998,6.6145,1.019,8.895999999999999,0.1845,0.95,0.975,288.57715430861725,85.58628770126238,452.99011124845487,0.0,517352.0129822448
3.144,9.0,5209.791,1370.804,6872.553333333333,32.04866666666667,32.04866666666667,568.4696666666666,288.0,573.2693333333333,1.272,0.998,6.934333333333334,1.0193333333333332,10.292666666666667,0.20933333333333334,0.95,0.975,288.57715430861725,82.67115319905781,446.91011530398316,0.0,747866.8484124588
4.161,12.0,7588.442,1414.96925,7102.5725,52.480000000000004,52.480000000000004,591.72,288.0,583.41475,1.3685,0.998,7.4525,1.02,12.24675,0.2465,0.95,0.975,288.57715430861725,78.28443475343845,432.3858238947753,0.0,1124419.1642028536
5.14,15.0,10398.039999999999,1516.8380000000002,7381.013399999999,77.0452,77.0452,619.6748,288.0,595.8602,1.5104,0.998,8.2014,1.0211999999999999,15.072,0.3016,0.95,0.975,288.57715430861725,72.65347379715658,410.2719809322034,0.0,1651654.868636747
6.175,18.0,16298.593400000002,1708.4209999999998,7811.2094,124.78399999999999,124.78399999999999,686.9604,288.0,621.027,1.7913999999999999,0.998,9.6832,1.0234,20.7966,0.42679999999999996,0.95,0.975,288.57715430861725,64.13448033707866,383.4768337613041,0.0,2915906.8404328376
7.148,21.0,22702.9934,1968.8049999999998,8272.0014,185.5586,185.5586,730.8295999999999,288.0,644.6862,2.1178,0.998,11.3626,1.0266000000000002,27.8418,0.5509999999999999,0.95,0.975,288.57715430861725,56.737560065477965,345.0890546793842,0.0,4680739.206350915
8.206,24.0,31226.5092,2308.9658000000004,8713.3516,261.0848,261.0848,800.0536,288.0,675.5228,2.5552,0.998,13.574200000000001,1.0306000000000002,37.712599999999995,0.7464000000000001,0.95,0.975,288.57715430861725,49.76520163250872,313.1080150281778,0.0,7550392.968793374
9.3,27.0,42834.296,2711.5518,9110.531200000001,367.31100000000004,367.31100000000004,890.9187999999998,288.0,710.5714,3.1231999999999998,0.998,16.335,1.036,52.602,1.0412000000000001,0.95,0.975,288.57715430861725,43.49993265993266,285.25832479508193,0.0,12162928.586460324
1.138,3.0,38582.9856,2597.7642,8748.359,333.8328,333.8328,837.4234,288.0,691.6400000000001,2.9276,0.998,15.2882,1.0346,48.1032,0.9526,0.95,0.976,288.57715430861725,45.24011983098077,286.0443366580134,0.0,10496008.561807958
2.088,6.0,34018.274600000004,2410.6714,8348.3746,290.062,290.062,804.5286,288.0,672.6486,2.6934,0.998,14.0714,1.0323999999999998,43.508199999999995,0.8687999999999999,0.95,0.976,288.57715430861725,47.80253563966627,298.7037202049454,0.0,8587740.565097837
3.144,9.0,27897.700000000004,2152.4058,7944.767999999999,235.7172,235.7172,754.613,288.0,650.1452,2.3786,0.998,12.449,1.0293999999999999,36.9424,0.7388000000000001,0.95,0.976,288.57715430861725,52.22469274640534,317.25090389304637,0.0,6288125.072767301
4.161,12.0,20643.2472,1844.3867999999998,7639.9848,170.8784,170.8784,696.3022,288.0,624.5288,1.9948000000000001,0.998,10.522200000000002,1.0257999999999998,28.0676,0.5631999999999999,0.95,0.976,288.57715430861725,59.353443196289746,349.0586524964908,0.0,3987113.846958676
5.14,15.0,10417.9368,1517.1704,7383.4186,76.9602,76.9602,619.2418,288.0,595.8014000000001,1.5108000000000001,0.998,8.197,1.0211999999999999,14.8196,0.301,0.95,0.976,288.57715430861725,72.68529949981702,409.87675403759596,0.0,1655177.9704913646
6.175,18.0,16300.557400000002,1707.5730000000003,7812.5142,124.63619999999999,124.63619999999999,686.298,288.0,620.8384,1.791,0.998,9.6728,1.0234,21.181199999999997,0.4266,0.95,0.976,288.57715430861725,64.18393846662806,383.1926298157454,0.0,2914810.6828533285
