id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine,temp_ratio_t48_p48,temp_ratio_t1_p1,temp_ratio_t2_p2,torque_diff,rpm_ratio_gtn_ggn,fuel_per_rpm,total_prop_torque,power_proxy_kw,total_decay_score
1,1.14,3.0,289.96,1349.49,6677.38,7.58,7.58,464.01,288.0,550.56,1.1,1.0,5.95,1.02,7.14,0.08,0.95,0.98,421.83,288.0,92.53,0.0,0.2,0.0,15.16,40976.64,0.07
2,1.38,3.75,1957.52,1356.16,6715.15,12.74,12.74,506.86,288.0,558.34,1.16,1.0,6.28,1.02,8.02,0.13,0.95,0.98,436.95,288.0,88.91,0.0,0.2,0.0,25.48,278000.61,0.07
3,1.62,4.5,3041.61,1361.04,6767.62,19.17,19.17,527.39,288.0,563.31,1.19,1.0,6.5,1.02,8.78,0.16,0.95,0.98,443.18,288.0,86.66,0.0,0.2,0.0,38.34,433513.91,0.07
4,2.29,6.5,6285.38,1390.14,6956.59,39.13,39.13,584.15,288.0,577.92,1.31,1.0,7.16,1.02,11.05,0.23,0.95,0.98,445.92,288.0,80.72,0.0,0.2,0.0,78.26,914994.95,0.07
5,3.13,9.0,10048.14,1475.7,7305.53,71.99,71.99,623.03,288.0,594.44,1.48,1.0,8.05,1.02,14.48,0.3,0.95,0.98,420.97,288.0,73.84,0.0,0.2,0.0,143.98,1552788.74,0.07
6,4.15,12.0,15661.94,1660.9,7805.32,120.79,120.79,677.25,288.0,618.45,1.75,1.0,9.47,1.02,19.96,0.4,0.95,0.98,387.0,288.0,65.31,0.0,0.21,0.0,241.58,2724066.21,0.07
7,5.15,15.0,22367.22,1949.72,8330.06,182.05,182.05,731.0,288.0,645.0,2.1,1.0,11.29,1.03,27.31,0.54,0.95,0.98,348.1,288.0,57.13,0.0,0.23,0.0,364.1,4566809.27,0.07
8,6.16,18.0,30704.07,2306.89,8761.19,256.15,256.15,798.6,288.0,675.11,2.53,1.0,13.5,1.03,36.93,0.73,0.95,0.98,315.65,288.0,50.01,0.0,0.26,0.0,512.3,7417395.76,0.07
9,7.18,21.0,41436.15,2700.99,9107.16,353.89,353.89,879.63,288.0,707.88,3.07,1.0,16.11,1.03,50.14,1.0,0.95,0.98,286.52,288.0,43.94,0.0,0.3,0.0,707.78,11720091.19,0.07
10,7.2,21.0,45183.79,2822.49,9032.21,391.35,391.35,895.77,288.0,714.53,3.25,1.0,16.91,1.04,55.61,1.11,0.95,0.98,275.62,288.0,42.25,0.0,0.31,0.0,782.7,13354993.67,0.07
